Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Georges Home,Dilithium3,987.078,45.317515133,-75.756785225,3.75,140.569,2021-07-29 19:38:51.886352
Georges Home,Dilithium3,982.573,45.315802595,-75.757456415,8.083,282.854,2021-07-29 19:40:25.793309
Toronto Edge,Dilithium3,971.004,45.315412693,-75.758422834,9.497,320.617,2021-07-29 19:43:11.056969
Georges Home,Dilithium3,988.438,45.316943677,-75.757950214,3.097,151.244,2021-07-29 19:36:27.320322
Ottawa Edge,Dilithium3,986.686,45.317068956,-75.757918839,8.777,137.818,2021-07-29 19:39:45.014448
Toronto Edge,Dilithium3,987.991,45.315264813,-75.75796567,3.42,337.065,2021-07-29 19:37:33.555858
Toronto Edge,Dilithium3,990.094,45.31728961,-75.757822141,3.56,115.378,2021-07-29 19:36:15.271182
Toronto Edge,Dilithium3,3.531,45.316894887,-75.75796885,3.633,156.448,2021-07-29 19:32:43.888530
Ottawa Edge,Dilithium3,962.448,45.316453831,-75.758168517,14.395,204.439,2021-07-29 19:43:00.606697
Toronto Edge,Dilithium3,0.604,45.315247026,-75.757767708,2.842,340.229,2021-07-29 19:33:55.111847
Toronto Edge,Dilithium3,970.466,45.316262884,-75.75726302,8.179,237.272,2021-07-29 19:42:12.013076
Ottawa Edge,Dilithium3,966.93,45.316799787,-75.757060019,7.731,188.464,2021-07-29 19:42:20.140314
Toronto Edge,Dilithium3,3.558,45.315293331,-75.758293328,3.064,333.483,2021-07-29 19:33:40.659689
Toronto Edge,Dilithium3,9.167,45.31575381,-75.758406017,3.196,282.692,2021-07-29 19:33:23.127880
Georges Home,Dilithium3,979.937,45.316942347,-75.757013143,3.75,176.579,2021-07-29 19:38:33.237409
Georges Home,Dilithium3,995.791,45.315691418,-75.757497014,3.468,294.345,2021-07-29 19:34:11.712267
Toronto Edge,Dilithium3,974.903,45.315408066,-75.758438333,7.524,321.2,2021-07-29 19:40:08.188027
Ottawa Edge,Dilithium3,972.547,45.316491312,-75.757175545,7.744,215.729,2021-07-29 19:40:35.898404
Ottawa Edge,Dilithium3,960.39,45.317930255,-75.756898096,7.694,109.662,2021-07-29 19:43:43.242953
Toronto Edge,Dilithium3,993.219,45.317999633,-75.757043295,2.806,96.285,2021-07-29 19:35:38.951909
Georges Home,Dilithium3,11.51,45.315560065,-75.757534664,3.834,308.185,2021-07-29 19:37:49.821867
Georges Home,Dilithium3,2.323,45.315409482,-75.758497,3.481,321.345,2021-07-29 19:33:33.325008
Georges Home,Dilithium3,974.605,45.315516285,-75.758478176,7.006,309.399,2021-07-29 19:41:44.681694
Georges Home,Dilithium3,9.422,45.317024793,-75.757921976,3.735,142.629,2021-07-29 19:32:39.634324
Georges Home,Dilithium3,968.314,45.317192556,-75.75689153,8.713,159.585,2021-07-29 19:40:45.216491
Toronto Edge,Dilithium3,957.362,45.318053527,-75.757472996,4.989,62.823,2021-07-29 19:44:50.793268
Ottawa Edge,Dilithium3,973.907,45.316308249,-75.758193805,7.276,220.605,2021-07-29 19:41:32.542017
Georges Home,Dilithium3,994.992,45.318029665,-75.7572813,3.441,77.661,2021-07-29 19:39:19.142233
Ottawa Edge,Dilithium3,988.991,45.315264718,-75.757913089,3.785,337.324,2021-07-29 19:37:34.511018
Ottawa Edge,Dilithium3,984.081,45.315275862,-75.758002753,3.557,335.694,2021-07-29 19:37:33.017551
Toronto Edge,Dilithium3,8.702,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:43.746873
Toronto Edge,Dilithium3,964.641,45.315765012,-75.757465828,13.776,286.794,2021-07-29 19:44:24.311247
Ottawa Edge,Dilithium3,989.441,45.317023472,-75.75791589,3.196,142.847,2021-07-29 19:36:24.906179
Ottawa Edge,Dilithium3,993.11,45.31704707,-75.756969405,3.633,168.731,2021-07-29 19:34:59.146304
Toronto Edge,Dilithium3,993.841,45.315264718,-75.757913089,3.785,337.324,2021-07-29 19:37:35.060978
Toronto Edge,Dilithium3,3.682,45.316808766,-75.758003174,3.451,165.688,2021-07-29 19:32:46.583846
Ottawa Edge,Dilithium3,963.269,45.317206784,-75.756903892,8.095,157.75,2021-07-29 19:42:25.504794
Toronto Edge,Dilithium3,965.443,45.317955627,-75.757000125,6.593,101.186,2021-07-29 19:42:39.090884
Georges Home,Dilithium3,996.282,45.316276993,-75.758203217,3.196,224.079,2021-07-29 19:36:51.037089
Ottawa Edge,Dilithium3,986.413,45.317723258,-75.756691661,3.468,134.068,2021-07-29 19:38:59.085371
Toronto Edge,Dilithium3,972.06,45.317192556,-75.75689153,8.713,159.585,2021-07-29 19:40:45.459834
Ottawa Edge,Dilithium3,16.666,45.315242778,-75.757993529,3.312,339.4,2021-07-29 19:33:48.680407
Toronto Edge,Dilithium3,994.858,45.317252027,-75.757831554,3.548,119.241,2021-07-29 19:36:17.384934
Toronto Edge,Dilithium3,968.173,45.316921665,-75.756997645,14.14,179.173,2021-07-29 19:43:32.664034
Ottawa Edge,Dilithium3,965.777,45.31540035,-75.757600174,6.084,324.913,2021-07-29 19:41:59.208018
Toronto Edge,Dilithium3,990.587,45.315826209,-75.758371883,3.468,274.514,2021-07-29 19:37:06.953455
Ottawa Edge,Dilithium3,989.737,45.315937254,-75.75739718,8.446,269.272,2021-07-29 19:40:28.057286
Toronto Edge,Dilithium3,14.384,45.317425465,-75.757765854,3.484,102.235,2021-07-29 19:32:27.769253
Toronto Edge,Dilithium3,963.55,45.315824603,-75.758408966,13.249,274.851,2021-07-29 19:44:07.499429
Ottawa Edge,Dilithium3,974.374,45.316816919,-75.75802181,14.043,164.657,2021-07-29 19:42:57.465598
Toronto Edge,Dilithium3,972.789,45.31770281,-75.75766288,7.203,77.911,2021-07-29 19:41:11.014854
Georges Home,Dilithium3,992.131,45.316086021,-75.758278138,3.201,245.382,2021-07-29 19:36:57.475060
Toronto Edge,Dilithium3,4.341,45.315429911,-75.758506223,3.293,319.134,2021-07-29 19:33:32.932735
Toronto Edge,Dilithium3,2.238,45.315395597,-75.757612535,3.248,325.297,2021-07-29 19:34:02.116304
Toronto Edge,Dilithium3,999.927,45.315450335,-75.757584486,3.392,319.6,2021-07-29 19:34:03.752467
Georges Home,Dilithium3,4.258,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:05.964995
Ottawa Edge,Dilithium3,996.876,45.31627856,-75.757284605,3.56,235.095,2021-07-29 19:34:31.694589
Toronto Edge,Dilithium3,11.489,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:03.412528
Toronto Edge,Dilithium3,979.614,45.3168342,-75.758006312,16.62,162.851,2021-07-29 19:43:59.667108
Georges Home,Dilithium3,8.298,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:47.281832
Toronto Edge,Dilithium3,3.768,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:55.846426
Toronto Edge,Dilithium3,998.483,45.316998416,-75.757922165,3.188,145.524,2021-07-29 19:36:26.395396
Ottawa Edge,Dilithium3,989.268,45.317499311,-75.757740942,3.644,95.251,2021-07-29 19:36:08.884602
Ottawa Edge,Dilithium3,992.417,45.316954748,-75.757006868,3.56,175.67,2021-07-29 19:34:56.499879
Ottawa Edge,Dilithium3,983.928,45.316536923,-75.757181631,3.468,210.851,2021-07-29 19:38:20.986938
Toronto Edge,Dilithium3,971.267,45.318018901,-75.757401966,6.472,69.507,2021-07-29 19:42:44.408437
Ottawa Edge,Dilithium3,2.519,45.317659025,-75.75767543,3.287,81.551,2021-07-29 19:36:03.799986
Georges Home,Dilithium3,990.963,45.31529478,-75.75810164,3.687,333.326,2021-07-29 19:37:31.140250
Georges Home,Dilithium3,993.677,45.31675125,-75.757084931,3.309,192.337,2021-07-29 19:34:48.552341
Ottawa Edge,Dilithium3,980.722,45.317427438,-75.75680719,8.376,145.47,2021-07-29 19:42:28.619172
Toronto Edge,Dilithium3,3.424,45.316962154,-75.757937664,3.372,149.339,2021-07-29 19:32:42.179768
Toronto Edge,Dilithium3,12.403,45.315944782,-75.758331097,3.033,261.206,2021-07-29 19:33:15.674026
Georges Home,Dilithium3,7.246,45.316228076,-75.758218716,3.196,229.52,2021-07-29 19:33:05.868259
Georges Home,Dilithium3,992.592,45.316190871,-75.75823754,2.942,233.67,2021-07-29 19:36:53.719605
Georges Home,Dilithium3,985.798,45.317133317,-75.756938217,3.735,162.433,2021-07-29 19:38:39.851704
Toronto Edge,Dilithium3,989.141,45.317446292,-75.756804052,3.575,144.279,2021-07-29 19:38:50.336541
Ottawa Edge,Dilithium3,983.635,45.315937381,-75.757400317,3.81,269.201,2021-07-29 19:38:01.316271
Ottawa Edge,Dilithium3,963.57,45.315671215,-75.758474473,11.879,292.205,2021-07-29 19:43:08.106851
Toronto Edge,Dilithium3,10.318,45.317776151,-75.757625417,3.633,72.954,2021-07-29 19:32:16.846939
Ottawa Edge,Dilithium3,984.805,45.316671582,-75.757122394,3.377,199.003,2021-07-29 19:38:25.792032
Georges Home,Dilithium3,959.772,45.317643338,-75.756722849,11.149,136.405,2021-07-29 19:44:40.159477
Ottawa Edge,Dilithium3,993.125,45.31783453,-75.756703642,2.886,127.825,2021-07-29 19:35:26.512845
Ottawa Edge,Dilithium3,4.893,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:37.334473
Georges Home,Dilithium3,961.17,45.317643338,-75.756722849,11.149,136.405,2021-07-29 19:44:39.430885
Georges Home,Dilithium3,978.137,45.317446292,-75.756804052,3.575,144.279,2021-07-29 19:38:49.621515
Ottawa Edge,Dilithium3,4.536,45.31793744,-75.757572266,1.158,63.051,2021-07-29 19:32:09.572134
Ottawa Edge,Dilithium3,966.052,45.317630936,-75.756729125,7.675,136.725,2021-07-29 19:42:31.680224
Ottawa Edge,Dilithium3,959.685,45.31777019,-75.756703832,9.185,130.828,2021-07-29 19:43:40.282075
Ottawa Edge,Dilithium3,970.494,45.317139518,-75.756935079,8.095,162.036,2021-07-29 19:42:24.738806
Toronto Edge,Dilithium3,983.863,45.315813676,-75.757444054,3.82,281.851,2021-07-29 19:37:57.969975
Georges Home,Dilithium3,0.068,45.315808923,-75.757456415,3.461,282.166,2021-07-29 19:34:15.764143
Ottawa Edge,Dilithium3,1.665,45.316832248,-75.757984538,3.633,163.234,2021-07-29 19:32:46.205997
Ottawa Edge,Dilithium3,991.241,45.315614903,-75.75849016,12.028,298.538,2021-07-29 19:44:09.375278
Toronto Edge,Dilithium3,9.657,45.316987209,-75.757931389,3.827,146.651,2021-07-29 19:32:40.921108
Georges Home,Dilithium3,989.945,45.31760588,-75.7567354,3.56,137.834,2021-07-29 19:38:54.663075
Toronto Edge,Dilithium3,12.803,45.316518068,-75.757184768,3.209,212.7,2021-07-29 19:34:40.734906
Georges Home,Dilithium3,999.317,45.316597862,-75.757150444,3.209,205.563,2021-07-29 19:34:43.687386
Georges Home,Dilithium3,964.328,45.317982986,-75.757476323,7.964,66.304,2021-07-29 19:43:49.814360
Ottawa Edge,Dilithium3,984.586,45.315636811,-75.758459163,7.006,295.933,2021-07-29 19:41:43.147476
Ottawa Edge,Dilithium3,966.894,45.315884095,-75.758368557,7.028,268.076,2021-07-29 19:41:38.868559
Toronto Edge,Dilithium3,990.442,45.315937381,-75.757400317,3.81,269.201,2021-07-29 19:38:01.896536
Georges Home,Dilithium3,997.882,45.316751132,-75.758012775,3.105,172.002,2021-07-29 19:36:34.407645
Georges Home,Dilithium3,34.947,45.316716443,-75.758040635,3.293,175.676,2021-07-29 19:32:49.752373
Ottawa Edge,Dilithium3,8.847,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:52.256274
Toronto Edge,Dilithium3,989.144,45.31801232,-75.75719477,3.459,84.676,2021-07-29 19:39:16.579513
Georges Home,Dilithium3,969.854,45.317154847,-75.756897806,13.704,162.51,2021-07-29 19:43:35.218582
Ottawa Edge,Dilithium3,995.474,45.316024949,-75.757375216,3.281,260.227,2021-07-29 19:34:22.651554
Georges Home,Dilithium3,31.085,45.317456848,-75.757759579,3.457,99.122,2021-07-29 19:32:26.979547
Ottawa Edge,Dilithium3,976.832,45.318029665,-75.7572813,3.441,77.661,2021-07-29 19:39:18.907937
Ottawa Edge,Dilithium3,966.563,45.317104966,-75.757897065,7.822,134.159,2021-07-29 19:41:19.923342
Ottawa Edge,Dilithium3,996.907,45.315268934,-75.757736711,2.974,338.058,2021-07-29 19:33:55.896556
Georges Home,Dilithium3,959.082,45.316682157,-75.757097482,13.6,198.78,2021-07-29 19:43:30.809579
Georges Home,Dilithium3,967.764,45.317618282,-75.756729125,7.835,137.487,2021-07-29 19:40:52.087324
Georges Home,Dilithium3,0.234,45.31523793,-75.757953309,3.166,340.102,2021-07-29 19:33:49.719460
Toronto Edge,Dilithium3,7.362,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:06.670514
Ottawa Edge,Dilithium3,4.86,45.31748653,-75.757737804,3.911,96.66,2021-07-29 19:32:25.634671
Georges Home,Dilithium3,982.165,45.316388289,-75.757234781,3.735,224.794,2021-07-29 19:38:15.930891
Toronto Edge,Dilithium3,3.557,45.316808766,-75.758003174,3.451,165.688,2021-07-29 19:32:47.130566
Toronto Edge,Dilithium3,985.868,45.317238167,-75.756897616,3.81,155.419,2021-07-29 19:38:42.747282
Georges Home,Dilithium3,960.283,45.317593226,-75.7567354,12.078,138.619,2021-07-29 19:43:39.025903
Ottawa Edge,Dilithium3,962.867,45.315320525,-75.757683941,7.92,332.834,2021-07-29 19:44:20.606320
Georges Home,Dilithium3,993.875,45.315735461,-75.758421704,3.575,284.801,2021-07-29 19:37:09.541623
Georges Home,Dilithium3,1.423,45.31709206,-75.75789079,3.911,135.658,2021-07-29 19:32:38.549669
Toronto Edge,Dilithium3,46.453,45.317023472,-75.75791589,3.196,142.847,2021-07-29 19:36:24.765369
Georges Home,Dilithium3,975.606,45.31582303,-75.758396605,8.089,274.97,2021-07-29 19:40:01.358812
Georges Home,Dilithium3,6.927,45.31569287,-75.758437202,3.725,289.601,2021-07-29 19:33:25.070085
Toronto Edge,Dilithium3,966.848,45.31529399,-75.757730436,7.791,335.343,2021-07-29 19:43:18.078693
Toronto Edge,Dilithium3,990.974,45.315974844,-75.758318736,3.56,257.831,2021-07-29 19:37:01.469267
Toronto Edge,Dilithium3,42.525,45.317613781,-75.756747762,3.56,136.541,2021-07-29 19:35:17.995515
Toronto Edge,Dilithium3,4.382,45.316548954,-75.758096921,3.457,194.017,2021-07-29 19:32:56.118357
Toronto Edge,Dilithium3,963.115,45.316682157,-75.757097482,13.6,198.78,2021-07-29 19:43:30.319946
Toronto Edge,Dilithium3,5.507,45.317190709,-75.757853328,4.002,125.485,2021-07-29 19:32:34.351783
Toronto Edge,Dilithium3,4.444,45.316739925,-75.758021999,3.384,173.184,2021-07-29 19:32:48.836270
Toronto Edge,Dilithium3,980.427,45.317526066,-75.757750166,9.054,92.225,2021-07-29 19:39:38.831477
Toronto Edge,Dilithium3,3.132,45.315747857,-75.757484464,3.728,288.375,2021-07-29 19:34:14.234667
Georges Home,Dilithium3,983.773,45.317422811,-75.756822689,3.4,144.903,2021-07-29 19:38:48.523503
Ottawa Edge,Dilithium3,980.946,45.316129926,-75.757337755,3.728,249.719,2021-07-29 19:38:07.534420
Ottawa Edge,Dilithium3,998.102,45.31557404,-75.75754075,3.719,306.574,2021-07-29 19:34:07.807169
Toronto Edge,Dilithium3,979.031,45.317970553,-75.757532045,0.514,63.385,2021-07-29 19:39:29.788626
Georges Home,Dilithium3,994.597,45.316658928,-75.757122394,3.468,200.277,2021-07-29 19:34:45.280850
Ottawa Edge,Dilithium3,999.233,45.315655287,-75.758446614,3.725,293.818,2021-07-29 19:33:25.415410
Toronto Edge,Dilithium3,8.96,45.31569287,-75.758437202,3.725,289.601,2021-07-29 19:33:24.622415
Ottawa Edge,Dilithium3,960.95,45.31697506,-75.757943939,16.887,147.851,2021-07-29 19:43:58.319093
Toronto Edge,Dilithium3,980.869,45.317933338,-75.75682079,3.254,115.2,2021-07-29 19:39:07.381391
Georges Home,Dilithium3,969.407,45.315272176,-75.757814013,7.93,337.103,2021-07-29 19:43:16.325436
Ottawa Edge,Dilithium3,994.571,45.317645038,-75.756738348,3.384,135.275,2021-07-29 19:35:18.717274
Ottawa Edge,Dilithium3,959.101,45.315544231,-75.757559386,11.114,309.6,2021-07-29 19:44:23.002131
Ottawa Edge,Dilithium3,956.569,45.316140627,-75.757315981,15.383,249.043,2021-07-29 19:44:28.118040
Georges Home,Dilithium3,972.254,45.317172232,-75.757865878,7.822,127.286,2021-07-29 19:41:18.571321
Toronto Edge,Dilithium3,978.762,45.317803159,-75.757640916,6.234,69.846,2021-07-29 19:39:35.333693
Georges Home,Dilithium3,995.448,45.316719993,-75.757094344,3.468,195.11,2021-07-29 19:34:48.017383
Ottawa Edge,Dilithium3,962.907,45.317504064,-75.757728581,12.169,95.133,2021-07-29 19:42:52.026210
