Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Toronto Edge,Rainbow-I-Classic,11.114,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:03.094319
Georges Home,Rainbow-I-Classic,998.546,45.318025197,-75.757451411,2.741,65.725,2021-07-29 19:35:50.543861
Georges Home,Rainbow-I-Classic,5.868,45.31530438,-75.75833041,2.853,332.333,2021-07-29 19:33:39.701570
Toronto Edge,Rainbow-I-Classic,0.847,45.317627642,-75.757681706,3.209,84.346,2021-07-29 19:36:05.468516
Ottawa Edge,Rainbow-I-Classic,963.364,45.317864277,-75.756783896,8.287,120.737,2021-07-29 19:44:42.484137
Georges Home,Rainbow-I-Classic,989.719,45.315269061,-75.757739848,3.629,338.018,2021-07-29 19:37:38.734792
Georges Home,Rainbow-I-Classic,994.039,45.31537681,-75.758447745,2.904,324.711,2021-07-29 19:37:23.514810
Georges Home,Rainbow-I-Classic,974.157,45.316054632,-75.757353443,8.258,257.466,2021-07-29 19:42:08.821642
Ottawa Edge,Rainbow-I-Classic,992.147,45.317319293,-75.757800367,3.372,112.654,2021-07-29 19:36:14.828066
Georges Home,Rainbow-I-Classic,986.905,45.31796806,-75.756944404,3.335,104.771,2021-07-29 19:39:11.630661
Ottawa Edge,Rainbow-I-Classic,993.594,45.316129926,-75.757337755,3.728,249.719,2021-07-29 19:38:08.215890
Georges Home,Rainbow-I-Classic,997.017,45.315857466,-75.758362471,3.468,271.008,2021-07-29 19:37:05.918982
Georges Home,Rainbow-I-Classic,976.036,45.317104966,-75.757897065,7.822,134.159,2021-07-29 19:41:19.860391
Georges Home,Rainbow-I-Classic,988.025,45.315305828,-75.758138722,3.608,332.045,2021-07-29 19:37:30.104962
Ottawa Edge,Rainbow-I-Classic,999.053,45.318032813,-75.757306022,3.032,75.735,2021-07-29 19:35:45.845382
Ottawa Edge,Rainbow-I-Classic,0.371,45.317788931,-75.757628555,3.56,71.687,2021-07-29 19:36:00.053154
Ottawa Edge,Rainbow-I-Classic,19.715,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:43.957880
Toronto Edge,Rainbow-I-Classic,982.182,45.316424046,-75.757206732,7.934,221.817,2021-07-29 19:40:34.463445
Toronto Edge,Rainbow-I-Classic,14.683,45.317317961,-75.756863291,3.56,150.7,2021-07-29 19:35:08.011898
Toronto Edge,Rainbow-I-Classic,996.205,45.316597989,-75.757153581,3.293,205.452,2021-07-29 19:38:22.512766
Georges Home,Rainbow-I-Classic,9.406,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:50.863448
Toronto Edge,Rainbow-I-Classic,18.363,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:42.627002
Georges Home,Rainbow-I-Classic,987.3,45.316327224,-75.757262831,3.659,230.487,2021-07-29 19:38:14.388076
Georges Home,Rainbow-I-Classic,7.487,45.317108136,-75.756941355,3.728,164.515,2021-07-29 19:35:01.044979
Toronto Edge,Rainbow-I-Classic,13.729,45.315778866,-75.758399742,2.929,279.884,2021-07-29 19:33:21.567001
Toronto Edge,Rainbow-I-Classic,994.372,45.316356906,-75.757241057,3.659,227.919,2021-07-29 19:38:14.786545
Ottawa Edge,Rainbow-I-Classic,982.21,45.315315271,-75.758212888,6.923,330.964,2021-07-29 19:40:10.898981
Georges Home,Rainbow-I-Classic,8.298,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:42.343645
Ottawa Edge,Rainbow-I-Classic,985.532,45.316327224,-75.757262831,3.659,230.487,2021-07-29 19:38:13.850334
Ottawa Edge,Rainbow-I-Classic,979.684,45.316350453,-75.757237919,8.011,228.677,2021-07-29 19:40:33.219577
Ottawa Edge,Rainbow-I-Classic,10.507,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:52.394037
Georges Home,Rainbow-I-Classic,975.563,45.315282157,-75.758052196,6.794,334.839,2021-07-29 19:41:52.058651
Toronto Edge,Rainbow-I-Classic,996.668,45.316696393,-75.758040824,3.735,177.898,2021-07-29 19:36:36.287656
Toronto Edge,Rainbow-I-Classic,967.062,45.31803933,-75.757411189,6.507,67.884,2021-07-29 19:44:50.410208
Georges Home,Rainbow-I-Classic,960.667,45.315434696,-75.758444419,9.741,318.274,2021-07-29 19:44:12.134882
Ottawa Edge,Rainbow-I-Classic,980.614,45.315613329,-75.758477799,7.902,298.64,2021-07-29 19:40:05.557107
Ottawa Edge,Rainbow-I-Classic,991.113,45.316671582,-75.757122394,3.377,199.003,2021-07-29 19:38:26.060847
Ottawa Edge,Rainbow-I-Classic,4.744,45.315229966,-75.757838924,2.949,341.609,2021-07-29 19:33:52.806853
Ottawa Edge,Rainbow-I-Classic,17.476,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:40.773484
Ottawa Edge,Rainbow-I-Classic,13.827,45.317646245,-75.757672293,3.735,82.904,2021-07-29 19:32:21.010877
Georges Home,Rainbow-I-Classic,11.106,45.316832248,-75.757984538,3.633,163.234,2021-07-29 19:32:45.930567
Georges Home,Rainbow-I-Classic,5.465,45.316954748,-75.757006868,3.56,175.67,2021-07-29 19:34:55.830397
Georges Home,Rainbow-I-Classic,992.873,45.31614076,-75.75825009,2.929,239.253,2021-07-29 19:36:55.853604
Toronto Edge,Rainbow-I-Classic,963.545,45.318064575,-75.757510081,3.693,59.669,2021-07-29 19:44:51.977334
Georges Home,Rainbow-I-Classic,987.655,45.317692001,-75.756701074,3.475,135.102,2021-07-29 19:38:57.969088
Georges Home,Rainbow-I-Classic,11.395,45.316716443,-75.758040635,3.293,175.676,2021-07-29 19:32:49.342160
Georges Home,Rainbow-I-Classic,996.599,45.317165905,-75.757865878,3.196,127.974,2021-07-29 19:36:19.513254
Ottawa Edge,Rainbow-I-Classic,977.344,45.317039169,-75.756957044,8.622,170.005,2021-07-29 19:40:44.426171
Toronto Edge,Rainbow-I-Classic,8.428,45.316923366,-75.757013143,3.457,178.376,2021-07-29 19:34:55.068952
Toronto Edge,Rainbow-I-Classic,9.078,45.316987209,-75.757931389,3.827,146.651,2021-07-29 19:32:41.373118
Toronto Edge,Rainbow-I-Classic,997.677,45.31624561,-75.758209492,2.838,227.568,2021-07-29 19:36:51.778668
Ottawa Edge,Rainbow-I-Classic,991.756,45.315406678,-75.757600174,3.575,324.217,2021-07-29 19:37:44.856032
Toronto Edge,Rainbow-I-Classic,7.326,45.316862309,-75.757972177,3.02,160.016,2021-07-29 19:36:31.009489
Georges Home,Rainbow-I-Classic,996.564,45.31723184,-75.756897616,3.293,155.951,2021-07-29 19:35:04.383448
Ottawa Edge,Rainbow-I-Classic,968.033,45.317154847,-75.756897806,13.704,162.51,2021-07-29 19:43:35.427072
Ottawa Edge,Rainbow-I-Classic,973.924,45.316308249,-75.758193805,7.276,220.605,2021-07-29 19:41:31.408308
Toronto Edge,Rainbow-I-Classic,12.369,45.317145719,-75.756931942,3.728,161.643,2021-07-29 19:35:02.514519
Toronto Edge,Rainbow-I-Classic,968.525,45.315719753,-75.758449563,12.885,286.685,2021-07-29 19:44:09.010855
Georges Home,Rainbow-I-Classic,969.278,45.315373689,-75.757643532,8.323,327.376,2021-07-29 19:44:20.676984
Toronto Edge,Rainbow-I-Classic,1.649,45.318034577,-75.757423551,3.164,67.227,2021-07-29 19:35:48.709737
Toronto Edge,Rainbow-I-Classic,6.179,45.316892109,-75.757022557,3.484,180.972,2021-07-29 19:34:54.036787
Ottawa Edge,Rainbow-I-Classic,995.968,45.317970553,-75.757532045,0.514,63.385,2021-07-29 19:39:30.169429
Ottawa Edge,Rainbow-I-Classic,978.75,45.316755876,-75.757069433,7.815,192.435,2021-07-29 19:40:39.589720
Toronto Edge,Rainbow-I-Classic,11.578,45.318013799,-75.757154548,2.92,87.557,2021-07-29 19:35:41.697534
Toronto Edge,Rainbow-I-Classic,992.566,45.316190991,-75.757309706,3.644,243.812,2021-07-29 19:38:10.174471
Ottawa Edge,Rainbow-I-Classic,968.363,45.315266165,-75.757922313,8.249,337.117,2021-07-29 19:43:15.868876
Toronto Edge,Rainbow-I-Classic,996.67,45.317344349,-75.757794092,3.365,110.122,2021-07-29 19:36:14.550801
Georges Home,Rainbow-I-Classic,9.952,45.317425465,-75.757765854,3.484,102.235,2021-07-29 19:32:27.862767
Toronto Edge,Rainbow-I-Classic,996.6,45.315255054,-75.757783206,3.225,339.222,2021-07-29 19:37:37.507979
Ottawa Edge,Rainbow-I-Classic,978.057,45.31526626,-75.757974894,6.649,336.866,2021-07-29 19:41:52.922165
Toronto Edge,Rainbow-I-Classic,993.11,45.317576198,-75.756757175,3.75,138.291,2021-07-29 19:38:53.665431
Ottawa Edge,Rainbow-I-Classic,970.086,45.316448976,-75.757197319,14.407,219.487,2021-07-29 19:43:28.227873
Toronto Edge,Rainbow-I-Classic,985.363,45.317068956,-75.757918839,8.777,137.818,2021-07-29 19:39:45.142120
Georges Home,Rainbow-I-Classic,975.16,45.31770281,-75.75766288,7.203,77.911,2021-07-29 19:41:10.915911
Ottawa Edge,Rainbow-I-Classic,14.337,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:01.108778
Georges Home,Rainbow-I-Classic,982.829,45.317618282,-75.756729125,7.835,137.487,2021-07-29 19:40:51.751226
Toronto Edge,Rainbow-I-Classic,4.966,45.317756215,-75.756697746,3.19,131.951,2021-07-29 19:35:22.558115
Georges Home,Rainbow-I-Classic,970.005,45.317383401,-75.756813466,13.073,148.392,2021-07-29 19:43:36.221967
Georges Home,Rainbow-I-Classic,3.88,45.31527284,-75.75818208,2.85,335.68,2021-07-29 19:33:43.886245
Toronto Edge,Rainbow-I-Classic,4.276,45.317645038,-75.756738348,3.384,135.275,2021-07-29 19:35:18.637407
Ottawa Edge,Rainbow-I-Classic,10.229,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:06.533022
Georges Home,Rainbow-I-Classic,997.005,45.316719875,-75.758022188,3.105,175.404,2021-07-29 19:36:35.793063
Georges Home,Rainbow-I-Classic,965.797,45.315285178,-75.75807378,8.218,334.45,2021-07-29 19:44:15.531795
Toronto Edge,Rainbow-I-Classic,11.691,45.315370541,-75.75761881,3.056,327.986,2021-07-29 19:34:01.128186
Ottawa Edge,Rainbow-I-Classic,8.387,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:05.516191
Toronto Edge,Rainbow-I-Classic,13.211,45.31569287,-75.758437202,3.725,289.601,2021-07-29 19:33:24.712087
Ottawa Edge,Rainbow-I-Classic,9.524,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:45.012295
Georges Home,Rainbow-I-Classic,21.498,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:55.213034
Toronto Edge,Rainbow-I-Classic,979.061,45.317953927,-75.756984626,6.645,102.385,2021-07-29 19:40:58.501788
Toronto Edge,Rainbow-I-Classic,970.05,45.317665352,-75.75767543,12.709,80.944,2021-07-29 19:43:53.873097
Toronto Edge,Rainbow-I-Classic,988.397,45.317450899,-75.757768991,9.389,99.49,2021-07-29 19:39:39.215526
Ottawa Edge,Rainbow-I-Classic,965.224,45.316140627,-75.757315981,15.383,249.043,2021-07-29 19:44:27.322231
Ottawa Edge,Rainbow-I-Classic,971.717,45.318009426,-75.757377243,8.194,71.712,2021-07-29 19:43:48.852668
Toronto Edge,Rainbow-I-Classic,10.716,45.315293331,-75.758293328,3.064,333.483,2021-07-29 19:33:41.112217
Ottawa Edge,Rainbow-I-Classic,997.422,45.318013799,-75.757154548,2.92,87.557,2021-07-29 19:35:42.022291
Ottawa Edge,Rainbow-I-Classic,998.98,45.317436671,-75.75775663,3.468,101.306,2021-07-29 19:36:11.591217
Toronto Edge,Rainbow-I-Classic,14.597,45.316894887,-75.75796885,3.633,156.448,2021-07-29 19:32:43.930842
Toronto Edge,Rainbow-I-Classic,975.918,45.317557343,-75.756760313,8.025,139.309,2021-07-29 19:42:30.481135
Toronto Edge,Rainbow-I-Classic,999.221,45.316165935,-75.757315981,3.728,246.343,2021-07-29 19:38:09.058751
Toronto Edge,Rainbow-I-Classic,989.003,45.316397392,-75.758181067,8.258,210.702,2021-07-29 19:39:53.745539
Toronto Edge,Rainbow-I-Classic,994.996,45.317889363,-75.756728175,2.883,123.725,2021-07-29 19:39:04.983842
Toronto Edge,Rainbow-I-Classic,999.665,45.31627856,-75.757284605,3.56,235.095,2021-07-29 19:34:31.988044
Georges Home,Rainbow-I-Classic,959.316,45.316798087,-75.757044521,16.021,189.208,2021-07-29 19:44:33.127501
Georges Home,Rainbow-I-Classic,5.13,45.315995267,-75.75739699,3.366,263.01,2021-07-29 19:34:21.491632
Ottawa Edge,Rainbow-I-Classic,990.332,45.317133317,-75.756938217,3.735,162.433,2021-07-29 19:38:39.913149
Toronto Edge,Rainbow-I-Classic,17.778,45.316110698,-75.758262451,3.105,242.612,2021-07-29 19:33:09.491534
Georges Home,Rainbow-I-Classic,6.302,45.315233208,-75.757916227,3.033,340.803,2021-07-29 19:33:51.114741
Ottawa Edge,Rainbow-I-Classic,5.749,45.315323577,-75.757656082,3.164,332.77,2021-07-29 19:33:59.174204
Georges Home,Rainbow-I-Classic,974.404,45.31690622,-75.757962764,7.811,155.253,2021-07-29 19:41:22.933629
Toronto Edge,Rainbow-I-Classic,967.056,45.316934193,-75.756994507,15.657,178.12,2021-07-29 19:44:33.636492
