Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Ottawa Edge,Rainbow-I-Classic,979.181,45.31799394,-75.757460824,6.19,66.73,2021-07-29 19:41:05.310852
Ottawa Edge,Rainbow-I-Classic,5.54,45.316358354,-75.75725028,3.209,227.53,2021-07-29 19:34:34.265207
Ottawa Edge,Rainbow-I-Classic,978.372,45.317875231,-75.756768397,7.229,121.383,2021-07-29 19:40:55.718950
Ottawa Edge,Rainbow-I-Classic,997.276,45.31533589,-75.758327273,3.368,328.825,2021-07-29 19:37:26.294754
Toronto Edge,Rainbow-I-Classic,972.293,45.315362393,-75.758330222,8.974,325.889,2021-07-29 19:43:12.035673
Ottawa Edge,Rainbow-I-Classic,974.623,45.315647634,-75.757509564,7.907,298.947,2021-07-29 19:42:03.075181
Georges Home,Rainbow-I-Classic,975.412,45.315802595,-75.757456415,8.083,282.854,2021-07-29 19:40:25.436307
Ottawa Edge,Rainbow-I-Classic,2.223,45.318025197,-75.757451411,2.741,65.725,2021-07-29 19:35:49.983882
Georges Home,Rainbow-I-Classic,26.688,45.31624561,-75.758209492,2.838,227.568,2021-07-29 19:36:51.489569
Georges Home,Rainbow-I-Classic,984.727,45.315242589,-75.757888368,6.749,339.912,2021-07-29 19:40:15.153431
Georges Home,Rainbow-I-Classic,10.703,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:54.083766
Ottawa Edge,Rainbow-I-Classic,966.911,45.316051585,-75.758312272,14.127,249.289,2021-07-29 19:44:06.126842
Ottawa Edge,Rainbow-I-Classic,5.532,45.316240976,-75.757294017,3.468,238.856,2021-07-29 19:34:31.154851
Ottawa Edge,Rainbow-I-Classic,980.965,45.317216143,-75.757856465,8.713,122.673,2021-07-29 19:39:42.622189
Georges Home,Rainbow-I-Classic,8.198,45.315864987,-75.75836542,3.014,270.185,2021-07-29 19:33:18.447104
Ottawa Edge,Rainbow-I-Classic,973.03,45.317003286,-75.756981956,7.991,172.2,2021-07-29 19:42:22.723050
Georges Home,Rainbow-I-Classic,984.507,45.317933338,-75.75682079,3.254,115.2,2021-07-29 19:39:07.954997
Ottawa Edge,Rainbow-I-Classic,3.465,45.315511401,-75.757556438,3.56,313.239,2021-07-29 19:34:05.777072
Toronto Edge,Rainbow-I-Classic,965.942,45.317961923,-75.757049571,7.976,97.329,2021-07-29 19:44:45.382455
Georges Home,Rainbow-I-Classic,10.398,45.316932471,-75.757959438,3.735,152.388,2021-07-29 19:32:42.362570
Ottawa Edge,Rainbow-I-Classic,990.058,45.317983831,-75.757018572,3.434,98.709,2021-07-29 19:39:12.264469
Toronto Edge,Rainbow-I-Classic,13.496,45.317228293,-75.757843915,3.901,121.577,2021-07-29 19:32:33.768151
Ottawa Edge,Rainbow-I-Classic,6.745,45.315274319,-75.75814186,3.067,335.543,2021-07-29 19:33:44.850260
Ottawa Edge,Rainbow-I-Classic,4.939,45.317317961,-75.756863291,3.56,150.7,2021-07-29 19:35:08.223595
Ottawa Edge,Rainbow-I-Classic,964.543,45.316275286,-75.757256745,15.462,236.115,2021-07-29 19:44:28.964495
Toronto Edge,Rainbow-I-Classic,969.248,45.315824603,-75.758408966,13.249,274.851,2021-07-29 19:44:07.374496
Toronto Edge,Rainbow-I-Classic,972.433,45.31549412,-75.757571936,9.852,314.942,2021-07-29 19:43:20.640657
Toronto Edge,Rainbow-I-Classic,976.363,45.315351813,-75.757625085,6.296,329.98,2021-07-29 19:41:57.560728
Georges Home,Rainbow-I-Classic,981.801,45.317938156,-75.756910457,6.701,108.438,2021-07-29 19:40:58.110107
Toronto Edge,Rainbow-I-Classic,971.14,45.31777019,-75.756703832,9.185,130.828,2021-07-29 19:43:41.545549
Ottawa Edge,Rainbow-I-Classic,965.495,45.315320525,-75.757683941,7.92,332.834,2021-07-29 19:44:19.886576
Ottawa Edge,Rainbow-I-Classic,968.968,45.317104966,-75.757897065,7.822,134.159,2021-07-29 19:41:19.358220
Ottawa Edge,Rainbow-I-Classic,985.909,45.318000362,-75.757513408,2.755,62.816,2021-07-29 19:39:24.384127
Georges Home,Rainbow-I-Classic,976.024,45.316838827,-75.757990813,7.907,162.457,2021-07-29 19:41:24.019588
Ottawa Edge,Rainbow-I-Classic,959.841,45.317543115,-75.756747952,12.958,141.024,2021-07-29 19:44:39.089737
Toronto Edge,Rainbow-I-Classic,974.949,45.317955627,-75.757000125,6.593,101.186,2021-07-29 19:42:38.676491
Toronto Edge,Rainbow-I-Classic,982.817,45.317572904,-75.757709755,7.805,88.757,2021-07-29 19:41:13.026993
Georges Home,Rainbow-I-Classic,979.706,45.317039169,-75.756957044,8.622,170.005,2021-07-29 19:40:43.612336
Georges Home,Rainbow-I-Classic,992.154,45.316536923,-75.757181631,3.468,210.851,2021-07-29 19:38:21.127781
Toronto Edge,Rainbow-I-Classic,972.74,45.317154847,-75.756897806,13.704,162.51,2021-07-29 19:43:34.506109
Ottawa Edge,Rainbow-I-Classic,6.585,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:57.794253
Toronto Edge,Rainbow-I-Classic,22.393,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:08.564016
Toronto Edge,Rainbow-I-Classic,988.446,45.318025323,-75.757454549,3.328,65.5,2021-07-29 19:39:22.205892
Georges Home,Rainbow-I-Classic,3.159,45.315353075,-75.758460105,3.09,327.403,2021-07-29 19:33:36.026622
Ottawa Edge,Rainbow-I-Classic,999.914,45.316893566,-75.757962764,3.196,156.649,2021-07-29 19:36:30.203331
Ottawa Edge,Rainbow-I-Classic,1.0,45.317945992,-75.75682079,2.338,114.72,2021-07-29 19:35:31.327107
Georges Home,Rainbow-I-Classic,7.05,45.317121869,-75.757872153,4.009,132.674,2021-07-29 19:32:36.711840
Ottawa Edge,Rainbow-I-Classic,981.885,45.31803933,-75.757411189,3.366,67.884,2021-07-29 19:39:21.352956
Toronto Edge,Rainbow-I-Classic,70.715,45.315802595,-75.757456415,8.083,282.854,2021-07-29 19:40:25.968715
Ottawa Edge,Rainbow-I-Classic,992.928,45.315284641,-75.757708852,3.574,336.565,2021-07-29 19:37:39.604367
Toronto Edge,Rainbow-I-Classic,4.845,45.318004355,-75.757080379,2.675,93.373,2021-07-29 19:35:39.882258
Georges Home,Rainbow-I-Classic,3.473,45.316075061,-75.757362666,3.105,255.086,2021-07-29 19:34:24.706517
Ottawa Edge,Rainbow-I-Classic,977.061,45.316568061,-75.758100059,7.907,191.885,2021-07-29 19:41:28.030987
Toronto Edge,Rainbow-I-Classic,997.492,45.315284641,-75.757708852,3.574,336.565,2021-07-29 19:37:39.198017
Georges Home,Rainbow-I-Classic,987.016,45.318034513,-75.757321522,3.432,74.541,2021-07-29 19:39:19.716590
Toronto Edge,Rainbow-I-Classic,11.27,45.315326351,-75.758401438,2.994,330.114,2021-07-29 19:33:37.736029
Georges Home,Rainbow-I-Classic,985.907,45.31797688,-75.757532045,0.0,62.989,2021-07-29 19:39:28.541171
Georges Home,Rainbow-I-Classic,4.069,45.315841505,-75.758384055,3.105,272.865,2021-07-29 19:33:19.750703
Georges Home,Rainbow-I-Classic,965.522,45.316799535,-75.757053744,13.94,188.722,2021-07-29 19:43:32.369951
Georges Home,Rainbow-I-Classic,990.928,45.315715027,-75.757481515,3.633,291.999,2021-07-29 19:37:54.379108
Toronto Edge,Rainbow-I-Classic,966.985,45.315373441,-75.758367304,9.128,324.767,2021-07-29 19:44:12.602803
Toronto Edge,Rainbow-I-Classic,992.173,45.315622705,-75.757518977,3.644,301.541,2021-07-29 19:37:51.375039
Ottawa Edge,Rainbow-I-Classic,12.155,45.317912384,-75.757578542,2.659,64.461,2021-07-29 19:32:12.096535
Georges Home,Rainbow-I-Classic,993.609,45.315264813,-75.75796567,3.42,337.065,2021-07-29 19:37:33.580436
Ottawa Edge,Rainbow-I-Classic,2.866,45.316035909,-75.758290688,2.929,250.976,2021-07-29 19:36:59.676148
Ottawa Edge,Rainbow-I-Classic,0.432,45.31783453,-75.756703642,2.886,127.825,2021-07-29 19:35:25.655280
Ottawa Edge,Rainbow-I-Classic,966.631,45.317117494,-75.757893927,17.33,132.833,2021-07-29 19:43:57.588070
Ottawa Edge,Rainbow-I-Classic,967.635,45.317407115,-75.757781542,16.245,103.767,2021-07-29 19:43:55.926941
Ottawa Edge,Rainbow-I-Classic,2.839,45.316106444,-75.757356391,3.02,251.846,2021-07-29 19:34:25.367406
Ottawa Edge,Rainbow-I-Classic,5.193,45.317410283,-75.756825827,3.384,145.655,2021-07-29 19:35:10.323684
Toronto Edge,Rainbow-I-Classic,998.074,45.315802727,-75.758390518,3.468,277.196,2021-07-29 19:37:08.426320
Toronto Edge,Rainbow-I-Classic,8.833,45.316954748,-75.757006868,3.56,175.67,2021-07-29 19:34:56.130524
Ottawa Edge,Rainbow-I-Classic,1.089,45.316968733,-75.757943939,3.281,148.548,2021-07-29 19:36:27.017096
Toronto Edge,Rainbow-I-Classic,968.55,45.315335668,-75.758271555,8.36,328.745,2021-07-29 19:44:14.370348
Toronto Edge,Rainbow-I-Classic,8.514,45.316302042,-75.757265968,3.468,233.065,2021-07-29 19:34:33.040647
Toronto Edge,Rainbow-I-Classic,987.905,45.317475849,-75.75677914,8.186,143.666,2021-07-29 19:40:50.629139
Georges Home,Rainbow-I-Classic,992.622,45.315331168,-75.75829019,3.701,329.274,2021-07-29 19:37:26.871695
Toronto Edge,Rainbow-I-Classic,994.615,45.315282157,-75.758052196,3.679,334.839,2021-07-29 19:37:32.278609
Georges Home,Rainbow-I-Classic,992.743,45.315381622,-75.757606449,3.503,326.903,2021-07-29 19:37:44.030173
Ottawa Edge,Rainbow-I-Classic,9.498,45.317776151,-75.757625417,3.633,72.954,2021-07-29 19:32:17.124050
Ottawa Edge,Rainbow-I-Classic,11.78,45.316173337,-75.758246764,3.281,235.629,2021-07-29 19:33:07.579303
Georges Home,Rainbow-I-Classic,985.092,45.317785897,-75.756675972,3.537,132.034,2021-07-29 19:39:00.568991
Toronto Edge,Rainbow-I-Classic,5.826,45.31783453,-75.756703642,2.886,127.825,2021-07-29 19:35:26.543661
Ottawa Edge,Rainbow-I-Classic,996.128,45.316696393,-75.758040824,3.735,177.898,2021-07-29 19:36:36.686871
Georges Home,Rainbow-I-Classic,997.779,45.316807571,-75.758000225,3.468,165.842,2021-07-29 19:36:32.726152
Georges Home,Rainbow-I-Classic,965.415,45.31588859,-75.757418953,14.655,274.148,2021-07-29 19:44:26.466536
Ottawa Edge,Rainbow-I-Classic,30.436,45.317948646,-75.757563043,2.929,62.849,2021-07-29 19:35:54.155236
Toronto Edge,Rainbow-I-Classic,976.151,45.315702372,-75.757481515,13.412,293.379,2021-07-29 19:43:22.779097
Ottawa Edge,Rainbow-I-Classic,994.743,45.31614076,-75.75825009,2.929,239.253,2021-07-29 19:36:56.370387
Georges Home,Rainbow-I-Classic,991.85,45.316129926,-75.757337755,3.728,249.719,2021-07-29 19:38:07.671756
Toronto Edge,Rainbow-I-Classic,15.636,45.317561698,-75.757718979,3.82,89.576,2021-07-29 19:32:24.111112
Georges Home,Rainbow-I-Classic,10.401,45.317924912,-75.757575404,1.814,63.744,2021-07-29 19:32:10.440745
Ottawa Edge,Rainbow-I-Classic,979.204,45.315253732,-75.757978031,6.919,338.244,2021-07-29 19:40:14.333504
Ottawa Edge,Rainbow-I-Classic,3.646,45.315974844,-75.758318736,3.56,257.831,2021-07-29 19:37:01.991356
Toronto Edge,Rainbow-I-Classic,16.003,45.316548954,-75.758096921,3.457,194.017,2021-07-29 19:32:56.122017
Ottawa Edge,Rainbow-I-Classic,975.476,45.315351813,-75.757625085,6.296,329.98,2021-07-29 19:41:57.980526
Ottawa Edge,Rainbow-I-Classic,3.663,45.316481687,-75.758128107,3.901,201.405,2021-07-29 19:32:57.658335
Toronto Edge,Rainbow-I-Classic,987.55,45.315349897,-75.758283915,6.178,327.182,2021-07-29 19:41:48.487548
Ottawa Edge,Rainbow-I-Classic,7.677,45.316135754,-75.758256176,3.105,239.818,2021-07-29 19:33:08.671765
Georges Home,Rainbow-I-Classic,984.734,45.317526066,-75.757750166,9.054,92.225,2021-07-29 19:39:38.939057
Georges Home,Rainbow-I-Classic,996.392,45.31728961,-75.757822141,3.56,115.378,2021-07-29 19:36:15.318662
Ottawa Edge,Rainbow-I-Classic,993.773,45.315826209,-75.758371883,3.468,274.514,2021-07-29 19:37:06.472099
Ottawa Edge,Rainbow-I-Classic,1.152,45.316186238,-75.757322067,3.484,244.043,2021-07-29 19:34:28.949423
Ottawa Edge,Rainbow-I-Classic,11.341,45.315395597,-75.757612535,3.248,325.297,2021-07-29 19:34:02.468918
Georges Home,Rainbow-I-Classic,966.843,45.316305196,-75.758221665,15.007,220.951,2021-07-29 19:44:03.573855
Georges Home,Rainbow-I-Classic,983.448,45.318039235,-75.757358606,3.441,71.658,2021-07-29 19:39:20.825265
Toronto Edge,Rainbow-I-Classic,13.449,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:52.177522
Toronto Edge,Rainbow-I-Classic,11.424,45.315915099,-75.75835287,3.033,264.575,2021-07-29 19:33:16.373330
Georges Home,Rainbow-I-Classic,964.438,45.317804595,-75.756719141,8.759,128.086,2021-07-29 19:44:41.653206
Georges Home,Rainbow-I-Classic,970.406,45.315699451,-75.758443477,7.203,288.904,2021-07-29 19:41:41.686170
Ottawa Edge,Rainbow-I-Classic,15.237,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:42.854174
Toronto Edge,Rainbow-I-Classic,994.546,45.316623044,-75.757147306,3.105,203.1,2021-07-29 19:38:23.667696
Georges Home,Rainbow-I-Classic,978.6,45.315359587,-75.757634308,6.383,329.026,2021-07-29 19:40:18.628410
Georges Home,Rainbow-I-Classic,984.05,45.31796806,-75.756944404,3.335,104.771,2021-07-29 19:39:10.283129
Georges Home,Rainbow-I-Classic,7.928,45.317190709,-75.757853328,4.002,125.485,2021-07-29 19:32:34.528738
Georges Home,Rainbow-I-Classic,4.464,45.316987209,-75.757931389,3.827,146.651,2021-07-29 19:32:41.044831
Ottawa Edge,Rainbow-I-Classic,14.967,45.315293331,-75.758293328,3.064,333.483,2021-07-29 19:33:40.229350
Ottawa Edge,Rainbow-I-Classic,975.119,45.317056428,-75.757921976,13.88,139.155,2021-07-29 19:42:55.777469
Ottawa Edge,Rainbow-I-Classic,980.865,45.315251874,-75.757807928,6.396,339.393,2021-07-29 19:40:16.002692
