Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Toronto Edge,Dilithium2,981.64,45.317996454,-75.757068018,3.564,94.586,2021-07-29 19:39:13.605383
Ottawa Edge,Dilithium2,979.894,45.317238167,-75.756897616,3.81,155.419,2021-07-29 19:38:42.573812
Toronto Edge,Dilithium2,979.796,45.317526066,-75.757750166,9.054,92.225,2021-07-29 19:39:38.721137
Toronto Edge,Dilithium2,982.091,45.317446292,-75.756804052,3.575,144.279,2021-07-29 19:38:49.633405
Georges Home,Dilithium2,3.108,45.316719993,-75.757094344,3.468,195.11,2021-07-29 19:34:48.107373
Toronto Edge,Dilithium2,997.065,45.315974844,-75.758318736,3.56,257.831,2021-07-29 19:37:01.657247
Georges Home,Dilithium2,997.69,45.315970211,-75.757403265,3.457,265.599,2021-07-29 19:34:20.754135
Ottawa Edge,Dilithium2,986.51,45.31537681,-75.758447745,2.904,324.711,2021-07-29 19:37:23.033065
Ottawa Edge,Dilithium2,998.023,45.315258548,-75.758067694,3.189,337.423,2021-07-29 19:33:46.504440
Toronto Edge,Dilithium2,996.012,45.316327097,-75.757259693,3.293,230.579,2021-07-29 19:34:33.248545
Georges Home,Dilithium2,986.957,45.316687013,-75.758068684,8.889,178.8,2021-07-29 19:39:49.769947
Georges Home,Dilithium2,993.239,45.316115704,-75.758256365,3.105,242.046,2021-07-29 19:36:57.169892
Toronto Edge,Dilithium2,983.869,45.31796806,-75.756944404,3.335,104.771,2021-07-29 19:39:11.592691
Ottawa Edge,Dilithium2,33.826,45.315655287,-75.758446614,3.725,293.818,2021-07-29 19:33:26.383408
Georges Home,Dilithium2,990.541,45.31638817,-75.758162619,3.384,211.741,2021-07-29 19:36:47.411621
Toronto Edge,Dilithium2,969.141,45.315775966,-75.757450329,8.258,285.848,2021-07-29 19:42:04.794833
Georges Home,Dilithium2,997.05,45.317228293,-75.757843915,3.901,121.577,2021-07-29 19:32:33.981396
Ottawa Edge,Dilithium2,3.322,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:52.666163
Georges Home,Dilithium2,988.162,45.31802957,-75.757228716,3.288,81.499,2021-07-29 19:35:44.443775
Ottawa Edge,Dilithium2,993.261,45.318024848,-75.757191632,3.043,84.403,2021-07-29 19:35:42.496901
Toronto Edge,Dilithium2,970.101,45.315411246,-75.758413611,6.587,320.739,2021-07-29 19:41:46.869041
Ottawa Edge,Dilithium2,984.226,45.315300222,-75.757677855,3.627,335.132,2021-07-29 19:37:41.586601
Georges Home,Dilithium2,4.59,45.317524114,-75.757728392,3.996,93.089,2021-07-29 19:32:25.089636
Ottawa Edge,Dilithium2,5.227,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:52.119959
Ottawa Edge,Dilithium2,2.075,45.317776151,-75.757625417,3.633,72.954,2021-07-29 19:32:16.715994
Ottawa Edge,Dilithium2,22.797,45.317023472,-75.75791589,3.196,142.847,2021-07-29 19:36:24.432416
Toronto Edge,Dilithium2,4.983,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:02.772241
Ottawa Edge,Dilithium2,985.594,45.315264718,-75.757913089,3.785,337.324,2021-07-29 19:37:34.568858
Georges Home,Dilithium2,4.035,45.31748653,-75.757737804,3.911,96.66,2021-07-29 19:32:25.646924
Georges Home,Dilithium2,972.639,45.316062539,-75.758296774,7.028,248.032,2021-07-29 19:41:35.765638
Georges Home,Dilithium2,979.405,45.31766852,-75.756719711,3.56,135.155,2021-07-29 19:38:57.187824
Ottawa Edge,Dilithium2,983.618,45.315255054,-75.757783206,3.225,339.222,2021-07-29 19:37:38.521743
Ottawa Edge,Dilithium2,990.052,45.317226971,-75.757837829,3.457,121.83,2021-07-29 19:36:17.766377
Georges Home,Dilithium2,975.014,45.315991993,-75.757369131,8.271,263.893,2021-07-29 19:42:08.334850
Toronto Edge,Dilithium2,984.464,45.317760841,-75.756682247,3.548,132.806,2021-07-29 19:38:59.746100
Georges Home,Dilithium2,2.509,45.316481687,-75.758128107,3.901,201.405,2021-07-29 19:32:57.409356
Ottawa Edge,Dilithium2,975.607,45.317630936,-75.756729125,3.56,136.725,2021-07-29 19:38:56.454757
Ottawa Edge,Dilithium2,969.344,45.316289387,-75.757265968,7.998,234.401,2021-07-29 19:40:32.701466
Ottawa Edge,Dilithium2,985.555,45.317931955,-75.756913595,6.642,108.463,2021-07-29 19:42:38.523078
Ottawa Edge,Dilithium2,2.9,45.315655287,-75.758446614,3.725,293.818,2021-07-29 19:33:25.760545
Ottawa Edge,Dilithium2,998.529,45.3152475,-75.758030612,3.312,338.75,2021-07-29 19:33:47.980675
Georges Home,Dilithium2,8.085,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:03.135620
Georges Home,Dilithium2,4.108,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:55.635890
Ottawa Edge,Dilithium2,966.226,45.31526626,-75.757974894,6.649,336.866,2021-07-29 19:41:53.229447
Toronto Edge,Dilithium2,994.817,45.317344349,-75.757794092,3.365,110.122,2021-07-29 19:36:13.784725
Toronto Edge,Dilithium2,1.758,45.31714255,-75.757887652,8.702,130.186,2021-07-29 19:39:43.648052
Toronto Edge,Dilithium2,997.285,45.315605297,-75.757531338,3.633,303.277,2021-07-29 19:34:08.657644
Toronto Edge,Dilithium2,998.504,45.316837371,-75.757050606,3.56,185.153,2021-07-29 19:34:51.564211
Ottawa Edge,Dilithium2,994.085,45.317375606,-75.757784679,3.384,107.021,2021-07-29 19:36:12.881596
Ottawa Edge,Dilithium2,973.525,45.316220547,-75.757284794,8.083,241.239,2021-07-29 19:40:31.946902
Toronto Edge,Dilithium2,967.839,45.317971398,-75.757074293,6.741,95.137,2021-07-29 19:42:39.893539
Georges Home,Dilithium2,964.688,45.317490077,-75.756791501,8.025,141.916,2021-07-29 19:42:29.718722
Georges Home,Dilithium2,960.974,45.318004514,-75.757234992,6.595,82.088,2021-07-29 19:42:41.970204
Georges Home,Dilithium2,996.433,45.315450335,-75.757584486,3.392,319.6,2021-07-29 19:34:03.620744
Georges Home,Dilithium2,984.506,45.315381622,-75.757606449,3.503,326.903,2021-07-29 19:37:43.474352
Georges Home,Dilithium2,7.606,45.316173337,-75.758246764,3.281,235.629,2021-07-29 19:33:08.153700
Toronto Edge,Dilithium2,980.111,45.316464659,-75.758149881,8.434,203.258,2021-07-29 19:39:53.417898
Toronto Edge,Dilithium2,980.338,45.316837497,-75.757053744,4.009,185.022,2021-07-29 19:38:30.999578
Toronto Edge,Dilithium2,984.439,45.317810953,-75.756669696,3.184,131.318,2021-07-29 19:39:02.143936
Toronto Edge,Dilithium2,8.07,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:38.106893
Toronto Edge,Dilithium2,2.14,45.316518068,-75.757184768,3.209,212.7,2021-07-29 19:34:40.551598
Toronto Edge,Dilithium2,966.285,45.317956452,-75.757522821,6.027,64.874,2021-07-29 19:42:45.312172
Georges Home,Dilithium2,981.93,45.31797688,-75.757532045,0.0,62.989,2021-07-29 19:39:29.087272
Ottawa Edge,Dilithium2,988.296,45.315253732,-75.757978031,6.919,338.244,2021-07-29 19:40:13.351647
Georges Home,Dilithium2,983.995,45.316035909,-75.758290688,2.929,250.976,2021-07-29 19:36:59.867740
Toronto Edge,Dilithium2,7.658,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:48.346090
Ottawa Edge,Dilithium2,988.284,45.315802727,-75.758390518,3.468,277.196,2021-07-29 19:37:07.752128
Georges Home,Dilithium2,991.597,45.31557404,-75.75754075,3.719,306.574,2021-07-29 19:34:07.440350
Ottawa Edge,Dilithium2,993.97,45.315655666,-75.758456026,3.209,293.825,2021-07-29 19:37:13.151061
Ottawa Edge,Dilithium2,981.461,45.31610487,-75.75734403,3.81,252.27,2021-07-29 19:38:07.187303
Toronto Edge,Dilithium2,9.447,45.317054476,-75.757900202,3.735,139.645,2021-07-29 19:32:38.970398
Toronto Edge,Dilithium2,20.227,45.316597862,-75.757150444,3.209,205.563,2021-07-29 19:34:43.576340
Ottawa Edge,Dilithium2,994.856,45.316536923,-75.757181631,3.468,210.851,2021-07-29 19:38:20.891953
Georges Home,Dilithium2,961.055,45.316596288,-75.757138082,7.652,206.112,2021-07-29 19:42:16.767412
Georges Home,Dilithium2,980.507,45.315715027,-75.757481515,3.633,291.999,2021-07-29 19:37:54.919724
Toronto Edge,Dilithium2,980.377,45.31801232,-75.75719477,3.459,84.676,2021-07-29 19:39:16.224439
Georges Home,Dilithium2,106.118,45.316321972,-75.758193616,3.644,219.08,2021-07-29 19:33:03.152073
Ottawa Edge,Dilithium2,993.527,45.317410283,-75.756825827,3.384,145.655,2021-07-29 19:35:11.001427
Georges Home,Dilithium2,999.508,45.317490077,-75.756791501,3.293,141.916,2021-07-29 19:35:13.713695
Ottawa Edge,Dilithium2,974.831,45.317070678,-75.756953906,3.834,167.29,2021-07-29 19:38:37.957902
Ottawa Edge,Dilithium2,965.086,45.317630936,-75.756729125,7.675,136.725,2021-07-29 19:42:31.677146
Georges Home,Dilithium2,4.877,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:37.009669
Toronto Edge,Dilithium2,4.04,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:38.597167
Toronto Edge,Dilithium2,8.315,45.317369405,-75.757787817,7.896,107.604,2021-07-29 19:41:15.750550
Georges Home,Dilithium2,4.906,45.315370541,-75.75761881,3.056,327.986,2021-07-29 19:34:00.943609
Toronto Edge,Dilithium2,994.685,45.318034292,-75.7572658,3.156,78.599,2021-07-29 19:35:45.109236
Toronto Edge,Dilithium2,5.394,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:06.966451
Toronto Edge,Dilithium2,4.06,45.315247026,-75.757767708,2.842,340.229,2021-07-29 19:33:55.166569
Toronto Edge,Dilithium2,979.949,45.316621218,-75.757128669,7.907,203.883,2021-07-29 19:40:38.336781
Toronto Edge,Dilithium2,987.789,45.316760607,-75.758037498,8.811,170.798,2021-07-29 19:39:48.317463
Georges Home,Dilithium2,5.687,45.315450335,-75.757584486,3.392,319.6,2021-07-29 19:34:04.139841
Ottawa Edge,Dilithium2,996.195,45.315337399,-75.758438521,3.057,329.041,2021-07-29 19:33:36.305843
Ottawa Edge,Dilithium2,988.31,45.317344349,-75.757794092,3.365,110.122,2021-07-29 19:36:13.921693
Toronto Edge,Dilithium2,974.051,45.317267723,-75.756872704,8.713,154.266,2021-07-29 19:40:46.680900
Georges Home,Dilithium2,1.809,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:44.977337
Toronto Edge,Dilithium2,974.769,45.315580499,-75.75847485,6.81,302.262,2021-07-29 19:41:44.410691
Toronto Edge,Dilithium2,973.12,45.315636811,-75.758459163,7.006,295.933,2021-07-29 19:41:43.071321
Toronto Edge,Dilithium2,13.353,45.317190709,-75.757853328,4.002,125.485,2021-07-29 19:32:34.674739
Ottawa Edge,Dilithium2,979.445,45.317905039,-75.75674976,3.044,121.52,2021-07-29 19:39:06.056398
Toronto Edge,Dilithium2,29.154,45.315560065,-75.757534664,3.834,308.185,2021-07-29 19:37:49.880789
Georges Home,Dilithium2,6.111,45.316055959,-75.758290499,3.209,248.748,2021-07-29 19:33:12.035137
Toronto Edge,Dilithium2,985.496,45.317630936,-75.756729125,3.56,136.725,2021-07-29 19:38:56.342315
Toronto Edge,Dilithium2,999.322,45.315808923,-75.757456415,3.461,282.166,2021-07-29 19:34:15.883322
Georges Home,Dilithium2,974.382,45.315802595,-75.757456415,8.083,282.854,2021-07-29 19:40:25.786511
Ottawa Edge,Dilithium2,5.873,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:37.747806
Ottawa Edge,Dilithium2,1.968,45.31523793,-75.757953309,3.166,340.102,2021-07-29 19:33:49.584155
Ottawa Edge,Dilithium2,971.701,45.316146954,-75.757315981,8.362,248.368,2021-07-29 19:40:31.114854
Georges Home,Dilithium2,964.558,45.315647634,-75.757509564,7.907,298.947,2021-07-29 19:42:03.002882
Ottawa Edge,Dilithium2,977.352,45.317971398,-75.757074293,6.741,95.137,2021-07-29 19:42:40.148247
Ottawa Edge,Dilithium2,969.887,45.317938156,-75.756910457,6.701,108.438,2021-07-29 19:40:57.472917
Ottawa Edge,Dilithium2,5.71,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:39.690506
Ottawa Edge,Dilithium2,996.894,45.315247026,-75.757767708,2.842,340.229,2021-07-29 19:33:54.724628
Ottawa Edge,Dilithium2,974.048,45.315735329,-75.757487601,7.919,289.693,2021-07-29 19:40:24.637236
Georges Home,Dilithium2,999.682,45.316253132,-75.758212441,3.457,226.733,2021-07-29 19:33:05.444639
Toronto Edge,Dilithium2,3.317,45.316253132,-75.758212441,3.457,226.733,2021-07-29 19:33:04.507695
Georges Home,Dilithium2,3.109,45.317746468,-75.757647192,3.644,74.577,2021-07-29 19:32:17.927342
Georges Home,Dilithium2,980.565,45.317994975,-75.75710824,3.42,91.696,2021-07-29 19:39:15.007827
Georges Home,Dilithium2,987.732,45.315398813,-75.758469329,2.854,322.377,2021-07-29 19:37:21.871641
Ottawa Edge,Dilithium2,985.679,45.316597989,-75.757153581,3.293,205.452,2021-07-29 19:38:23.101447
Georges Home,Dilithium2,995.878,45.315747857,-75.757484464,3.728,288.375,2021-07-29 19:34:14.552607
Ottawa Edge,Dilithium2,5.958,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:38.719724
Georges Home,Dilithium2,977.145,45.31803933,-75.757411189,3.366,67.884,2021-07-29 19:39:22.018942
Toronto Edge,Dilithium2,996.962,45.317286578,-75.756869566,3.372,152.892,2021-07-29 19:35:06.626112
Ottawa Edge,Dilithium2,3.313,45.316832248,-75.757984538,3.633,163.234,2021-07-29 19:32:45.282850
Georges Home,Dilithium2,998.37,45.316228076,-75.758218716,3.196,229.52,2021-07-29 19:33:05.945548
Toronto Edge,Dilithium2,966.05,45.317988743,-75.757160823,6.746,88.128,2021-07-29 19:42:41.448032
Ottawa Edge,Dilithium2,5.482,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:03.421197
Toronto Edge,Dilithium2,18.107,45.316962154,-75.757937664,3.372,149.339,2021-07-29 19:32:41.837829
Ottawa Edge,Dilithium2,0.446,45.316198393,-75.758240489,3.281,232.837,2021-07-29 19:33:06.807008
Georges Home,Dilithium2,971.421,45.31733499,-75.756841516,8.538,150.547,2021-07-29 19:40:47.981923
Georges Home,Dilithium2,981.25,45.315284641,-75.757708852,3.574,336.565,2021-07-29 19:37:39.609056
Ottawa Edge,Dilithium2,9.143,45.316967402,-75.757006868,4.117,174.48,2021-07-29 19:38:35.102879
Toronto Edge,Dilithium2,0.794,45.315429911,-75.758506223,3.293,319.134,2021-07-29 19:33:32.716976
Georges Home,Dilithium2,985.374,45.318025323,-75.757454549,3.328,65.5,2021-07-29 19:39:22.552272
Georges Home,Dilithium2,9.842,45.315419242,-75.758478553,3.128,320.16,2021-07-29 19:37:20.727783
Toronto Edge,Dilithium2,10.258,45.317364399,-75.757793903,3.633,107.994,2021-07-29 19:32:30.198889
Ottawa Edge,Dilithium2,1.758,45.315710405,-75.758427978,3.384,287.611,2021-07-29 19:37:10.592709
Ottawa Edge,Dilithium2,967.309,45.316262884,-75.75726302,8.179,237.272,2021-07-29 19:42:11.740507
Toronto Edge,Dilithium2,8.329,45.317776151,-75.757625417,3.633,72.954,2021-07-29 19:32:16.564702
Ottawa Edge,Dilithium2,0.436,45.315841505,-75.758384055,3.105,272.865,2021-07-29 19:33:20.573922
Ottawa Edge,Dilithium2,998.919,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:02.383632
Ottawa Edge,Dilithium2,979.815,45.317269424,-75.756888203,3.911,153.309,2021-07-29 19:38:43.787998
Toronto Edge,Dilithium2,0.724,45.315450335,-75.757584486,3.392,319.6,2021-07-29 19:34:03.246851
Toronto Edge,Dilithium2,975.259,45.316500795,-75.758131245,7.555,199.276,2021-07-29 19:41:29.163112
Georges Home,Dilithium2,13.479,45.316777509,-75.758012587,3.372,169.082,2021-07-29 19:32:48.210668
Georges Home,Dilithium2,967.683,45.31693602,-75.757013143,8.174,177.177,2021-07-29 19:42:22.132070
Toronto Edge,Dilithium2,7.658,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:59.590460
Ottawa Edge,Dilithium2,967.638,45.317056428,-75.757921976,13.88,139.155,2021-07-29 19:42:56.013437
Georges Home,Dilithium2,979.329,45.317371105,-75.757803316,9.406,107.066,2021-07-29 19:39:40.662632
Georges Home,Dilithium2,961.081,45.317875357,-75.756771534,6.885,121.151,2021-07-29 19:42:35.760110
Georges Home,Dilithium2,967.184,45.315760516,-75.758415429,7.217,281.992,2021-07-29 19:41:40.837854
Georges Home,Dilithium2,970.109,45.317938156,-75.756910457,6.701,108.438,2021-07-29 19:40:57.749263
Ottawa Edge,Dilithium2,7.621,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:59.174988
Toronto Edge,Dilithium2,989.709,45.315255054,-75.757783206,3.225,339.222,2021-07-29 19:37:37.605509
Ottawa Edge,Dilithium2,3.805,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:50.004709
Toronto Edge,Dilithium2,998.989,45.317693575,-75.756713436,3.293,134.173,2021-07-29 19:35:21.084575
