Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m),Time
Georges Home,Dilithium3,991.343,45.316067286,-75.757353443,3.725,256.108,2021-07-29 19:38:06.167508
Ottawa Edge,Rainbow-V-Classic,55.893,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:46.008397
Georges Home,Dilithium2,980.379,45.315530256,-75.7575533,3.834,311.21,2021-07-29 19:37:48.860347
Georges Home,Dilithium2,974.294,45.316054632,-75.757353443,8.258,257.466,2021-07-29 19:42:09.063844
Toronto Edge,Dilithium2,0.519,45.31675125,-75.757084931,3.309,192.337,2021-07-29 19:34:48.275295
Toronto Edge,Dilithium2,995.505,45.316892109,-75.757022557,3.484,180.972,2021-07-29 19:34:53.684855
Toronto Edge,Dilithium3,969.93,45.318004514,-75.757234992,7.688,82.088,2021-07-29 19:44:47.715343
Georges Home,Dilithium3,990.951,45.317344349,-75.757794092,3.365,110.122,2021-07-29 19:36:13.924160
Georges Home,Dilithium2,975.208,45.317707563,-75.757650518,9.78,77.996,2021-07-29 19:42:49.645222
Toronto Edge,Dilithium2,976.954,45.316823143,-75.757038245,8.186,187.007,2021-07-29 19:40:40.603848
Toronto Edge,Dilithium3,974.608,45.315349897,-75.758283915,6.178,327.182,2021-07-29 19:41:48.740780
Georges Home,Rainbow-I-Classic,984.727,45.315242589,-75.757888368,6.749,339.912,2021-07-29 19:40:15.153431
Toronto Edge,Dilithium5,997.193,45.317410283,-75.756825827,3.384,145.655,2021-07-29 19:35:10.397944
Georges Home,Dilithium5,983.869,45.317905039,-75.75674976,3.044,121.52,2021-07-29 19:39:05.978355
Toronto Edge,Dilithium5,39.555,45.31575381,-75.758406017,3.196,282.692,2021-07-29 19:33:23.372741
Georges Home,Rainbow-I-Classic,10.703,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:54.083766
Georges Home,Dilithium5,6.052,45.31758518,-75.757700342,3.4,87.855,2021-07-29 19:32:23.214802
Toronto Edge,Dilithium5,5.002,45.317228293,-75.757843915,3.901,121.577,2021-07-29 19:32:33.543064
Ottawa Edge,Dilithium5,988.268,45.316665137,-75.758050237,3.457,181.315,2021-07-29 19:36:37.267962
Toronto Edge,Dilithium3,965.053,45.315880916,-75.758393279,12.528,268.532,2021-07-29 19:43:05.942744
Ottawa Edge,Dilithium3,963.041,45.317988743,-75.757160823,6.746,88.128,2021-07-29 19:42:41.606049
Ottawa Edge,Dilithium5,976.227,45.317944387,-75.756857874,3.365,112.047,2021-07-29 19:39:09.009240
Ottawa Edge,Dilithium2,990.091,45.31723184,-75.756897616,3.293,155.951,2021-07-29 19:35:04.424478
Ottawa Edge,Dilithium2,988.666,45.317693575,-75.756713436,3.293,134.173,2021-07-29 19:35:20.674940
Toronto Edge,Dilithium3,7.735,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:39.628607
Ottawa Edge,Dilithium2,4.775,45.315395597,-75.757612535,3.248,325.297,2021-07-29 19:34:02.318139
Toronto Edge,Dilithium5,2.397,45.31704707,-75.756969405,3.633,168.731,2021-07-29 19:34:58.641196
Toronto Edge,Dilithium2,994.021,45.317406988,-75.757778404,3.659,103.858,2021-07-29 19:36:11.699317
Georges Home,Dilithium3,2.791,45.315293331,-75.758293328,3.064,333.483,2021-07-29 19:33:40.503102
Toronto Edge,Dilithium3,998.363,45.317252027,-75.757831554,3.548,119.241,2021-07-29 19:36:16.855696
Toronto Edge,Dilithium5,0.865,45.316837371,-75.757050606,3.56,185.153,2021-07-29 19:34:52.198271
Toronto Edge,Dilithium5,999.353,45.315715027,-75.757481515,3.633,291.999,2021-07-29 19:37:54.950761
Ottawa Edge,Dilithium2,993.094,45.31783453,-75.756703642,2.886,127.825,2021-07-29 19:35:25.371148
Ottawa Edge,Dilithium3,964.352,45.317003286,-75.756981956,7.991,172.2,2021-07-29 19:42:23.238260
