Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Georges Home,Rainbow-III-Classic,54.461,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:01.486964
Toronto Edge,Rainbow-III-Classic,31.197,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:00.221829
Ottawa Edge,Rainbow-III-Classic,34.096,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:44.995915
Toronto Edge,Rainbow-III-Classic,39.519,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:49.669009
Georges Home,Rainbow-III-Classic,51.848,45.317888902,-75.757597179,2.753,65.138,2021-07-29 19:32:12.392583
Georges Home,Rainbow-III-Classic,53.709,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:05.017415
Ottawa Edge,Rainbow-III-Classic,32.454,45.317924912,-75.757575404,1.814,63.744,2021-07-29 19:32:11.572477
Ottawa Edge,Rainbow-III-Classic,39.773,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:57.223358
Georges Home,Rainbow-III-Classic,56.526,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:42.398220
Georges Home,Rainbow-III-Classic,53.298,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:57.980909
Georges Home,Rainbow-III-Classic,47.83,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:47.531732
Toronto Edge,Rainbow-III-Classic,37.065,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:07.484898
Toronto Edge,Rainbow-III-Classic,41.056,45.31783259,-75.757612867,3.281,68.776,2021-07-29 19:32:15.135410
Ottawa Edge,Rainbow-III-Classic,44.968,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:46.684028
Ottawa Edge,Rainbow-III-Classic,33.456,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:48.434088
Georges Home,Rainbow-III-Classic,62.581,45.317924912,-75.757575404,1.814,63.744,2021-07-29 19:32:10.596219
Toronto Edge,Rainbow-III-Classic,34.481,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:05.623038
Georges Home,Rainbow-III-Classic,60.623,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:03.237189
Toronto Edge,Rainbow-III-Classic,32.462,45.317746468,-75.757647192,3.644,74.577,2021-07-29 19:32:17.712928
Ottawa Edge,Rainbow-III-Classic,34.621,45.317863846,-75.757603454,3.097,66.745,2021-07-29 19:32:13.784108
Ottawa Edge,Rainbow-III-Classic,34.61,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:53.376281
Toronto Edge,Rainbow-III-Classic,36.964,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:54.768668
Georges Home,Rainbow-III-Classic,51.569,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:50.785862
Toronto Edge,Rainbow-III-Classic,38.049,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:44.620126
Ottawa Edge,Rainbow-III-Classic,29.226,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:32:07.973532
Georges Home,Rainbow-III-Classic,51.227,45.317949967,-75.757569129,0.0,62.381,2021-07-29 19:31:56.019234
