Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Georges Home,Dilithium2,203.196,45.315735,-75.75845,3.102,284.997
Georges Home,Dilithium3,33.451,45.316971667,-75.756968333,8.072,175.721
Georges Home,Rainbow-V-Classic,138.083,45.317966667,-75.757555,0.0,62.16
Georges Home,Dilithium5,48.387,45.315803333,-75.758426667,3.447,277.297
Georges Home,Dilithium5,57.884,45.317786667,-75.756653333,7.254,133.605
Georges Home,Dilithium3,35.443,45.316773333,-75.75703,3.035,192.169
Georges Home,Dilithium2,45.26,45.317976667,-75.756933333,6.791,105.263
Georges Home,Dilithium2,39.122,45.31801,-75.757106667,7.043,91.221
Georges Home,Dilithium5,116.924,45.317978333,-75.756961667,3.128,103.109
Georges Home,Rainbow-III-Classic,226.691,45.317991667,-75.757488333,0.844,64.999
Georges Home,Dilithium2,33.398,45.315731667,-75.757453333,3.503,290.621
Georges Home,Dilithium2,28.985,45.315505,-75.75754,3.406,314.15
Georges Home,Dilithium2,42.162,45.317888333,-75.757593333,4.279,65.4
Georges Home,Dilithium5,36.032,45.315291667,-75.758286667,3.394,333.657
Georges Home,Dilithium5,31.938,45.31785,-75.756665,7.233,129.948
Georges Home,Rainbow-III-Classic,163.683,45.317606667,-75.7577,3.123,85.734
Georges Home,Dilithium2,34.961,45.317685,-75.756686667,11.698,136.468
Georges Home,Dilithium2,51.856,45.31796,-75.756836667,3.223,113.029
Georges Home,Rainbow-III-Classic,77.531,45.316686667,-75.758071667,13.901,178.825
Georges Home,Dilithium3,34.552,45.317943333,-75.757548333,6.287,64.124
Georges Home,Dilithium5,59.179,45.316093333,-75.758303333,3.636,244.628
Georges Home,Rainbow-III-Classic,68.449,45.316621667,-75.758101667,3.245,185.928
Georges Home,Rainbow-I-Classic,37.949,45.317786667,-75.75665,2.809,133.842
Georges Home,Rainbow-I-Classic,36.11,45.315673333,-75.758473333,3.425,291.964
Georges Home,Dilithium5,27.73,45.318058333,-75.757386667,2.727,68.808
Georges Home,Dilithium5,123.107,45.315935,-75.758378333,14.221,262.465
Georges Home,Dilithium5,55.557,45.315385,-75.758508333,2.737,324.124
Georges Home,Dilithium5,35.217,45.317766667,-75.756633333,2.619,135.97
Georges Home,Dilithium5,32.05,45.316588333,-75.758105,14.293,189.619
Georges Home,Rainbow-III-Classic,92.834,45.316923333,-75.757976667,13.18,153.237
Georges Home,Dilithium3,28.85,45.317978333,-75.756961667,3.128,103.109
Georges Home,Dilithium2,30.948,45.317625,-75.757691667,7.135,84.233
Georges Home,Dilithium5,30.05,45.318015,-75.757161667,3.223,86.987
Georges Home,Dilithium2,114.316,45.315496667,-75.758536667,2.865,311.93
Georges Home,Dilithium2,26.577,45.316013333,-75.758345,8.262,253.641
