Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Georges Home,Rainbow-I-Classic,49.808,45.316493333,-75.757143333,3.575,216.473
Georges Home,Rainbow-I-Classic,38.517,45.317245,-75.757856667,3.102,119.542
Georges Home,Rainbow-I-Classic,30.965,45.315618333,-75.758495,3.112,298.187
Georges Home,Rainbow-I-Classic,33.484,45.315373333,-75.758473333,12.084,325.223
Georges Home,Rainbow-I-Classic,113.559,45.315485,-75.757556667,3.066,316.132
Georges Home,Rainbow-I-Classic,111.129,45.31536,-75.758441667,2.573,326.548
Georges Home,Rainbow-I-Classic,60.789,45.31525,-75.757743333,6.652,340.095
Georges Home,Rainbow-I-Classic,37.949,45.317786667,-75.75665,2.809,133.842
Georges Home,Rainbow-I-Classic,36.11,45.315673333,-75.758473333,3.425,291.964
Georges Home,Rainbow-I-Classic,113.856,45.315626667,-75.757488333,2.793,301.542
Georges Home,Rainbow-I-Classic,35.018,45.316563333,-75.757133333,7.866,209.617
Georges Home,Rainbow-I-Classic,38.536,45.317973333,-75.757551667,1.209,61.944
Georges Home,Rainbow-I-Classic,40.001,45.315401667,-75.757608333,9.157,324.676
Georges Home,Rainbow-I-Classic,44.524,45.317968333,-75.757555,0.185,62.052
Georges Home,Rainbow-I-Classic,155.173,45.315735,-75.75845,3.076,284.997
Georges Home,Rainbow-I-Classic,31.866,45.316661667,-75.757095,7.619,200.917
Georges Home,Rainbow-I-Classic,34.071,45.317858333,-75.756658333,2.624,130.085
Georges Home,Rainbow-I-Classic,43.097,45.318008333,-75.757121667,3.138,90.183
Georges Home,Rainbow-I-Classic,35.222,45.317188333,-75.757883333,8.648,125.258
Georges Home,Rainbow-I-Classic,34.71,45.316795,-75.758026667,7.789,167.053
Georges Home,Rainbow-I-Classic,109.622,45.3176,-75.756701667,2.887,140.401
Georges Home,Rainbow-I-Classic,27.583,45.316728333,-75.758053333,7.773,174.29
Georges Home,Rainbow-I-Classic,38.201,45.316318333,-75.757215,3.671,232.641
Georges Home,Rainbow-I-Classic,27.888,45.31755,-75.757725,2.912,90.563
Georges Home,Rainbow-I-Classic,112.253,45.315891667,-75.758385,2.732,267.303
Georges Home,Rainbow-I-Classic,108.742,45.315375,-75.758466667,2.475,325.004
Georges Home,Rainbow-I-Classic,32.737,45.315871667,-75.758403333,7.784,269.604
Georges Home,Rainbow-I-Classic,35.827,45.316195,-75.757263333,3.425,244.451
Georges Home,Rainbow-I-Classic,29.221,45.316135,-75.75731,8.252,249.775
Georges Home,Rainbow-I-Classic,45.072,45.31539,-75.757598333,3.025,326.072
Georges Home,Rainbow-I-Classic,42.371,45.315465,-75.75758,7.429,318.042
Georges Home,Rainbow-I-Classic,114.446,45.315335,-75.757633333,2.625,331.744
Georges Home,Rainbow-I-Classic,131.659,45.318003333,-75.757501667,4.621,63.437
Georges Home,Rainbow-I-Classic,37.364,45.317355,-75.757808333,3.279,108.669
Georges Home,Rainbow-I-Classic,115.171,45.317221667,-75.757856667,3.245,122.07
Georges Home,Rainbow-I-Classic,38.856,45.316638333,-75.75708,3.279,203.764
Georges Home,Rainbow-I-Classic,117.335,45.315521667,-75.758531667,2.854,309.129
Georges Home,Rainbow-I-Classic,37.374,45.316061667,-75.75734,8.499,256.985
Georges Home,Rainbow-I-Classic,150.816,45.31583,-75.757428333,9.111,280.34
Georges Home,Rainbow-I-Classic,25.692,45.317966667,-75.757555,0.0,62.16
Georges Home,Rainbow-I-Classic,45.888,45.316178333,-75.757293333,7.699,245.528
Georges Home,Rainbow-I-Classic,50.124,45.317966667,-75.757536667,0.0,63.333
Georges Home,Rainbow-I-Classic,33.217,45.316796667,-75.75803,3.272,166.848
Georges Home,Rainbow-I-Classic,38.703,45.317,-75.757945,8.056,145.094
Georges Home,Rainbow-I-Classic,115.047,45.316128333,-75.757271667,2.845,251.339
Georges Home,Rainbow-I-Classic,36.318,45.315998333,-75.758336667,12.671,255.278
Georges Home,Rainbow-I-Classic,147.468,45.315363333,-75.75847,6.822,326.315
Georges Home,Rainbow-I-Classic,30.25,45.316238333,-75.758256667,8.661,228.42
Georges Home,Rainbow-I-Classic,100.469,45.31706,-75.757925,3.112,138.726
Georges Home,Rainbow-I-Classic,117.216,45.315521667,-75.758531667,3.004,309.129
Georges Home,Rainbow-I-Classic,30.03,45.318025,-75.757055,8.623,94.495
Georges Home,Rainbow-I-Classic,26.817,45.315208333,-75.757908333,3.185,343.602
Georges Home,Rainbow-I-Classic,30.262,45.316686667,-75.758071667,13.901,178.825
Georges Home,Rainbow-I-Classic,35.106,45.316353333,-75.757221667,8.272,228.799
