Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Ottawa Edge,Dilithium5,3.057,45.317425465,-75.757765854,3.484,102.235
Ottawa Edge,Dilithium5,5.253,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium5,4.089,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium5,4.918,45.315655287,-75.758446614,3.725,293.818
Toronto Edge,Dilithium5,1.182,45.318034577,-75.757423551,3.164,67.227
Toronto Edge,Dilithium5,8.78,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium5,983.326,45.316906337,-75.757034918,3.925,179.118
Ottawa Edge,Dilithium5,991.145,45.316868627,-75.757041193,3.384,182.492
Ottawa Edge,Dilithium5,1.206,45.31709206,-75.75789079,3.911,135.658
Ottawa Edge,Dilithium5,996.536,45.316186238,-75.757322067,3.484,244.043
Ottawa Edge,Dilithium5,998.714,45.316087216,-75.758281087,3.633,245.255
Georges Home,Dilithium5,9.945,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium5,987.768,45.316751132,-75.758012775,3.105,172.002
Ottawa Edge,Dilithium5,2.927,45.317524114,-75.757728392,3.996,93.089
Georges Home,Dilithium5,980.284,45.318023369,-75.757231854,3.441,81.52
Georges Home,Dilithium5,990.507,45.317375606,-75.757784679,3.384,107.021
Ottawa Edge,Dilithium5,986.158,45.316214353,-75.758218904,3.117,231.046
Toronto Edge,Dilithium5,987.439,45.316129926,-75.757337755,3.728,249.719
Ottawa Edge,Dilithium5,2.642,45.316024576,-75.758296774,3.125,252.249
Ottawa Edge,Dilithium5,980.314,45.316536923,-75.757181631,3.468,210.851
Ottawa Edge,Dilithium5,982.173,45.316190991,-75.757309706,3.644,243.812
Toronto Edge,Dilithium5,987.679,45.315974844,-75.758318736,3.56,257.831
Toronto Edge,Dilithium5,992.988,45.317195714,-75.757847242,3.372,125.047
Georges Home,Dilithium5,995.441,45.315888849,-75.758356196,3.457,267.501
Toronto Edge,Dilithium5,4.389,45.315783867,-75.75746269,3.553,284.791
Toronto Edge,Dilithium5,994.367,45.317990158,-75.757018572,2.945,98.466
Toronto Edge,Dilithium5,7.316,45.316739925,-75.758021999,3.384,173.184
Ottawa Edge,Dilithium5,5.281,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium5,4.818,45.316253132,-75.758212441,3.457,226.733
Ottawa Edge,Dilithium5,995.764,45.316075061,-75.757362666,3.105,255.086
Toronto Edge,Dilithium5,3.756,45.317190709,-75.757853328,4.002,125.485
Ottawa Edge,Dilithium5,980.457,45.316480611,-75.757197319,3.644,216.208
Georges Home,Dilithium5,992.302,45.31624561,-75.758209492,2.838,227.568
Toronto Edge,Dilithium5,995.745,45.318043862,-75.757343107,3.043,72.579
Ottawa Edge,Dilithium5,988.638,45.316719875,-75.758022188,3.105,175.404
Ottawa Edge,Dilithium5,994.299,45.317659025,-75.75767543,3.287,81.551
Georges Home,Dilithium5,989.593,45.316214353,-75.758218904,3.117,231.046
Georges Home,Dilithium5,991.019,45.316954748,-75.757006868,3.56,175.67
Toronto Edge,Dilithium5,990.045,45.315679148,-75.75843739,3.196,291.124
Toronto Edge,Dilithium5,980.71,45.317483876,-75.756794639,3.667,142.16
Ottawa Edge,Dilithium5,988.493,45.317820188,-75.757619142,3.293,69.485
Toronto Edge,Dilithium5,994.785,45.316943677,-75.757950214,3.097,151.244
Ottawa Edge,Dilithium5,1.752,45.316808766,-75.758003174,3.451,165.688
Georges Home,Dilithium5,996.927,45.316719993,-75.757094344,3.468,195.11
Georges Home,Dilithium5,0.693,45.316808766,-75.758003174,3.451,165.688
Toronto Edge,Dilithium5,5.019,45.316024576,-75.758296774,3.125,252.249
Toronto Edge,Dilithium5,989.275,45.316417853,-75.758140846,3.468,208.473
Georges Home,Dilithium5,978.011,45.316709166,-75.757112981,3.644,195.548
Ottawa Edge,Dilithium5,993.216,45.317134649,-75.757875291,3.105,131.232
Georges Home,Dilithium5,988.162,45.315530256,-75.7575533,3.834,311.21
Toronto Edge,Dilithium5,991.008,45.315744709,-75.757459742,3.633,289.1
Georges Home,Dilithium5,15.57,45.317613781,-75.756747762,3.56,136.541
Toronto Edge,Dilithium5,8.22,45.315419242,-75.758478553,3.128,320.16
Toronto Edge,Dilithium5,986.981,45.316709166,-75.757112981,3.644,195.548
Toronto Edge,Dilithium5,989.97,45.315348512,-75.758376716,3.448,327.566
Toronto Edge,Dilithium5,993.991,45.315275862,-75.758002753,3.557,335.694
Ottawa Edge,Dilithium5,992.337,45.316862309,-75.757972177,3.02,160.016
Ottawa Edge,Dilithium5,995.138,45.316161182,-75.757328342,3.117,246.58
Georges Home,Dilithium5,987.03,45.318007598,-75.757157685,3.441,87.574
Ottawa Edge,Dilithium5,9.416,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium5,1.609,45.316518068,-75.757184768,3.209,212.7
Toronto Edge,Dilithium5,8.357,45.317228293,-75.757843915,3.901,121.577
Toronto Edge,Dilithium5,999.943,45.317499311,-75.757740942,3.644,95.251
Toronto Edge,Dilithium5,990.96,45.315920105,-75.758346784,3.384,263.998
Toronto Edge,Dilithium5,991.95,45.315826209,-75.758371883,3.468,274.514
Toronto Edge,Dilithium5,997.648,45.315735461,-75.758421704,3.575,284.801
Toronto Edge,Dilithium5,6.187,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium5,9.891,45.317949967,-75.757569129,0.0,62.381
Georges Home,Dilithium5,8.297,45.31526327,-75.758104777,3.067,336.822
Ottawa Edge,Dilithium5,6.078,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium5,2.88,45.315994893,-75.758318547,3.033,255.603
Ottawa Edge,Dilithium5,996.006,45.317583973,-75.756766399,3.457,137.202
Georges Home,Dilithium5,8.346,45.316832248,-75.757984538,3.633,163.234
Ottawa Edge,Dilithium5,2.018,45.316932471,-75.757959438,3.735,152.388
Georges Home,Dilithium5,998.47,45.317883162,-75.756731313,2.638,123.747
Ottawa Edge,Dilithium5,6.569,45.317153125,-75.757862741,4.253,129.415
