Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Georges Home,Dilithium3,9.422,45.317024793,-75.757921976,3.735,142.629
Georges Home,Dilithium3,968.314,45.317192556,-75.75689153,8.713,159.585
Toronto Edge,Dilithium3,957.362,45.318053527,-75.757472996,4.989,62.823
Ottawa Edge,Dilithium3,973.907,45.316308249,-75.758193805,7.276,220.605
Georges Home,Dilithium3,994.992,45.318029665,-75.7572813,3.441,77.661
Ottawa Edge,Dilithium3,988.991,45.315264718,-75.757913089,3.785,337.324
Ottawa Edge,Dilithium3,984.081,45.315275862,-75.758002753,3.557,335.694
Toronto Edge,Dilithium3,8.702,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium3,964.641,45.315765012,-75.757465828,13.776,286.794
Ottawa Edge,Dilithium3,989.441,45.317023472,-75.75791589,3.196,142.847
Ottawa Edge,Dilithium3,993.11,45.31704707,-75.756969405,3.633,168.731
Toronto Edge,Dilithium3,993.841,45.315264718,-75.757913089,3.785,337.324
Toronto Edge,Dilithium3,3.682,45.316808766,-75.758003174,3.451,165.688
Ottawa Edge,Dilithium3,963.269,45.317206784,-75.756903892,8.095,157.75
Toronto Edge,Dilithium3,965.443,45.317955627,-75.757000125,6.593,101.186
Georges Home,Dilithium3,996.282,45.316276993,-75.758203217,3.196,224.079
Ottawa Edge,Dilithium3,986.413,45.317723258,-75.756691661,3.468,134.068
Toronto Edge,Dilithium3,972.06,45.317192556,-75.75689153,8.713,159.585
Ottawa Edge,Dilithium3,16.666,45.315242778,-75.757993529,3.312,339.4
Toronto Edge,Dilithium3,994.858,45.317252027,-75.757831554,3.548,119.241
Toronto Edge,Dilithium3,968.173,45.316921665,-75.756997645,14.14,179.173
Ottawa Edge,Dilithium3,965.777,45.31540035,-75.757600174,6.084,324.913
Toronto Edge,Dilithium3,990.587,45.315826209,-75.758371883,3.468,274.514
Ottawa Edge,Dilithium3,989.737,45.315937254,-75.75739718,8.446,269.272
Toronto Edge,Dilithium3,14.384,45.317425465,-75.757765854,3.484,102.235
Toronto Edge,Dilithium3,963.55,45.315824603,-75.758408966,13.249,274.851
Ottawa Edge,Dilithium3,974.374,45.316816919,-75.75802181,14.043,164.657
Toronto Edge,Dilithium3,972.789,45.31770281,-75.75766288,7.203,77.911
Georges Home,Dilithium3,992.131,45.316086021,-75.758278138,3.201,245.382
Toronto Edge,Dilithium3,4.341,45.315429911,-75.758506223,3.293,319.134
Toronto Edge,Dilithium3,2.238,45.315395597,-75.757612535,3.248,325.297
Toronto Edge,Dilithium3,999.927,45.315450335,-75.757584486,3.392,319.6
Georges Home,Dilithium3,4.258,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Dilithium3,996.876,45.31627856,-75.757284605,3.56,235.095
Toronto Edge,Dilithium3,11.489,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium3,979.614,45.3168342,-75.758006312,16.62,162.851
Georges Home,Dilithium3,8.298,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Dilithium3,3.768,45.317949967,-75.757569129,0.0,62.381
