Server Name,Signature Algorithm,Delay,Lat,Lon,Speed (kph),Distance (m)
Ottawa Edge,Rainbow-V-Classic,55.893,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-V-Classic,61.013,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-V-Classic,107.224,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-V-Classic,115.764,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-V-Classic,55.61,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-V-Classic,56.019,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-V-Classic,52.227,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-V-Classic,122.994,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-V-Classic,112.516,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-V-Classic,60.567,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-V-Classic,118.608,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-V-Classic,57.651,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-V-Classic,59.618,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-V-Classic,121.443,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-V-Classic,54.425,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-V-Classic,57.436,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-V-Classic,57.859,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-V-Classic,119.186,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-V-Classic,124.076,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-V-Classic,59.23,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-V-Classic,66.967,45.317949967,-75.757569129,0.0,62.381
Georges Home,Rainbow-V-Classic,120.366,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-V-Classic,61.112,45.317949967,-75.757569129,0.0,62.381
Toronto Edge,Rainbow-V-Classic,59.755,45.317949967,-75.757569129,0.0,62.381
Ottawa Edge,Rainbow-V-Classic,62.846,45.317949967,-75.757569129,0.0,62.381
